奔驰,bēn chí,chạy nhanh,她开着奔驰车去上班。,Cô ấy lái xe Mercedes đi làm.
本能,běn néng,bản năng,这是人类的本能反应。,Đây là phản ứng bản năng của con người.
本钱,běn qián,vốn,他用自己的本钱创业。,Anh ấy sử dụng vốn của mình để khởi nghiệp.
本人,běn rén,bản thân,本人对此事不知情。,Tôi (bản thân) không biết gì về việc này.
本身,běn shēn,bản thân,这个问题本身很复杂。,Vấn đề này tự nó rất phức tạp.
本事,běn shì,tài năng,他有很多做事的本事。,Anh ấy có nhiều tài năng để làm việc.
本着,běn zhe,căn cứ vào,本着公平的原则，我们做出了决定。,"Dựa trên nguyên tắc công bằng, chúng tôi đã đưa ra quyết định."
笨拙,bèn zhuō,vụng về,他干活时显得很笨拙。,Anh ấy trông rất vụng về khi làm việc.
崩溃,bēng kuì,sụp đổ,他经历了精神上的崩溃。,Anh ấy đã trải qua sự suy sụp tinh thần.
甭,béng,không cần,甭担心，一切都会好的。,"Đừng lo lắng, mọi thứ sẽ ổn thôi."
蹦,bèng,nhảy lên,他从椅子上蹦了起来。,Anh ấy bật dậy khỏi ghế.
迸发,bèng fā,bùng phát,创意的火花突然迸发出来。,Ý tưởng sáng tạo bùng phát đột ngột.
逼迫,bī pò,ép buộc,他被迫离开了家乡。,Anh ấy bị buộc phải rời quê hương.
鼻涕,bí tì,nước mũi,小孩子经常流鼻涕。,Trẻ con thường hay chảy nước mũi.
比方,bǐ fāng,ví dụ,比方说，你可以这样做。,"Ví dụ như, bạn có thể làm thế này."
比喻,bǐ yù,"so sánh, ví von",他用比喻的方式来解释这个概念。,Anh ấy dùng phép ẩn dụ để giải thích khái niệm này.
比重,bǐ zhòng,tỷ trọng,这个行业在经济中的比重很大。,Ngành này chiếm tỷ trọng lớn trong nền kinh tế.
臂,bì,cánh tay,他举起了手臂。,Anh ấy giơ cánh tay lên.
弊病,bì bìng,"tệ nạn, bệnh tật",我们需要解决这个系统的弊病。,Chúng ta cần giải quyết các khuyết điểm của hệ thống này.
必定,bì dìng,nhất định,他必定会成功。,Anh ấy chắc chắn sẽ thành công.
弊端,bì duān,"tệ nạn, sai sót",这个政策存在很多弊端。,Chính sách này có nhiều khuyết điểm.
闭塞,bì sè,bế tắc,这个地区非常闭塞。,Khu vực này rất hẻo lánh.
碧玉,bì yù,ngọc bích,碧玉是一种珍贵的宝石。,Ngọc bích là một loại đá quý.
鞭策,biān cè,khuyến khích,老师鞭策学生努力学习。,Giáo viên thúc giục học sinh học tập chăm chỉ.
边疆,biān jiāng,biên cương,边疆地区风景优美。,Vùng biên cương có phong cảnh tuyệt đẹp.
边界,biān jiè,biên giới,这里是两国的边界。,Đây là biên giới của hai nước.
边境,biān jìng,biên giới,我们不能越过边境。,Chúng ta không thể vượt qua biên giới.
边缘,biān yuán,vùng rìa,他站在悬崖的边缘。,Anh ấy đứng ở rìa vách đá.
编织,biān zhī,"đan, dệt",她喜欢编织毛衣。,Cô ấy thích đan áo len.
扁,biǎn,"dẹp, bẹp",这个箱子有点扁。,Chiếc hộp này hơi dẹp.
贬低,biǎn dī,"hạ thấp, đánh giá thấp",不要贬低自己的能力。,Đừng hạ thấp khả năng của mình.
贬义,biǎn yì,nghĩa xấu,这个词是贬义的。,Từ này có nghĩa xấu.
遍布,biàn bù,"rải rác, phân bố khắp",这座城市遍布高楼大厦。,Thành phố này đầy những tòa nhà cao tầng.
变故,biàn gù,biến cố,他的家庭经历了一次变故。,Gia đình anh ấy đã trải qua một biến cố.
辩护,biàn hù,biện hộ,律师为他进行辩护。,Luật sư biện hộ cho anh ấy.
辩解,biàn jiě,"giải thích, biện giải",他试图为自己的错误辩解。,Anh ấy cố gắng biện minh cho lỗi lầm của mình.
便利,biàn lì,tiện lợi,这里的交通很便利。,Giao thông ở đây rất thuận tiện.
变迁,biàn qiān,biến đổi,这座城市经历了巨大的变迁。,Thành phố này đã trải qua nhiều thay đổi lớn.
辨认,biàn rèn,nhận diện,我可以辨认出他的声音。,Tôi có thể nhận ra giọng nói của anh ấy.
便条,biàn tiáo,ghi chú,他留了一张便条给我。,Anh ấy để lại một mảnh giấy ghi chú cho tôi.
便于,biàn yú,thuận tiện cho,这种方法便于操作。,Cách này dễ thao tác.
辩证,biàn zhèng,biện chứng,我们需要辩证地看待这个问题。,Chúng ta cần nhìn nhận vấn đề này một cách biện chứng.
变质,biàn zhì,biến chất,牛奶变质了，不能喝。,"Sữa đã hỏng, không thể uống được."
辫子,biàn zi,bím tóc,她的辫子很长。,Tóc tết của cô ấy rất dài.
标本,biāo běn,mẫu vật,他是一个动物标本收藏家。,Anh ấy là một nhà sưu tầm mẫu vật động vật.
标记,biāo jì,ký hiệu,请在地图上标记出位置。,Vui lòng đánh dấu vị trí trên bản đồ.
飙升,biāo shēng,tăng vọt,房价在短时间内飙升了。,Giá nhà đã tăng vọt trong thời gian ngắn.
标题,biāo tí,tiêu đề,这个文章的标题很吸引人。,Tiêu đề bài viết này rất thu hút.
表决,biǎo jué,biểu quyết,他们就此问题进行了表决。,Họ đã bỏ phiếu về vấn đề này.
表态,biǎo tài,bày tỏ thái độ,他在会上表态支持这个计划。,Anh ấy bày tỏ ủng hộ kế hoạch này trong cuộc họp.
表彰,biǎo zhāng,khen ngợi,他的贡献得到了表彰。,Đóng góp của anh ấy đã được khen thưởng.
憋,biē,"nén, nhịn",我憋了一肚子话没说出来。,Tôi có rất nhiều điều muốn nói nhưng chưa nói ra.
别人,bié rén,người khác,这是别人的东西，不要随便动。,"Đây là đồ của người khác, đừng tùy tiện động vào."
别墅,bié shù,biệt thự,他们住在一栋豪华的别墅里。,Họ sống trong một biệt thự sang trọng.
别致,bié zhì,độc đáo,她的穿着很别致。,Cách ăn mặc của cô ấy rất độc đáo.
别扭,bié niu,"khó chịu, gượng gạo",他们之间的关系有些别扭。,Mối quan hệ giữa họ có chút khó xử.
濒临,bīn lín,"cận kề, gần kề",他濒临崩溃的边缘。,Anh ấy đang trên bờ vực sụp đổ.
冰雹,bīng báo,mưa đá,突然下起了冰雹。,Bất ngờ có mưa đá.
并存,bìng cún,cùng tồn tại,他们和平并存。,Họ sống chung hòa bình.
并非,bìng fēi,không phải là,他并非不愿意，而是没有时间。,"Anh ấy không phải là không muốn, mà là không có thời gian."
并列,bìng liè,đặt song song,这些奖项并列第一。,Những giải thưởng này đồng hạng nhất.
拨打,bō dǎ,quay số điện thoại,请拨打这个电话号码。,Vui lòng gọi số điện thoại này.
播放,bō fàng,phát sóng,他们正在播放音乐。,Họ đang phát nhạc.
波浪,bō làng,sóng,海上的波浪很大。,Sóng biển rất lớn.
波涛汹涌,bō tāo xiōng yǒng,sóng lớn cuồn cuộn,海上的波涛汹涌。,Sóng biển dâng trào dữ dội.
剥削,bō xuē,bóc lột,他们剥削工人的劳动。,Họ bóc lột sức lao động của công nhân.
播种,bō zhǒng,gieo hạt,农民在田里播种。,Nông dân đang gieo hạt trên đồng.
博大精深,bó dà jīng shēn,"uyên thâm, sâu sắc",他的知识博大精深。,Kiến thức của anh ấy rộng lớn và sâu sắc.
搏斗,bó dòu,"đấu tranh, vật lộn",他与敌人进行了搏斗。,Anh ấy đã đấu tranh với kẻ thù.
博览会,bó lǎn huì,triển lãm,我们参加了一个博览会。,Chúng tôi đã tham gia một hội chợ triển lãm.
伯母,bó mǔ,bác gái,他去看望了伯母。,Anh ấy đi thăm bác gái.
薄弱,bó ruò,"yếu ớt, mỏng manh",这个计划的基础非常薄弱。,Nền tảng của kế hoạch này rất yếu.
补偿,bǔ cháng,"bù đắp, đền bù",他们对她的损失进行了补偿。,Họ đã bồi thường cho tổn thất của cô ấy.
补救,bǔ jiù,"cứu chữa, bổ cứu",我们必须找到补救的方法。,Chúng ta cần tìm cách khắc phục.
哺乳,bǔ rǔ,"bú, nuôi bằng sữa mẹ",哺乳动物是温血动物。,Động vật có vú là động vật máu nóng.
补贴,bǔ tiē,trợ cấp,政府对农业进行补贴。,Chính phủ trợ cấp cho nông nghiệp.
捕捉,bǔ zhuō,bắt giữ,我们需要捕捉这个机会。,Chúng ta cần nắm bắt cơ hội này.
不得已,bù dé yǐ,bất đắc dĩ,他是不得已才离开的。,Anh ấy rời đi vì không có lựa chọn nào khác.
步伐,bù fá,"bước đi, nhịp đi",他迈出了坚定的步伐。,Anh ấy bước những bước đi vững chắc.
不妨,bù fáng,"không ngại, có thể",不妨试试这种方法。,Bạn có thể thử phương pháp này.
不敢当,bù gǎn dāng,không dám nhận,你不敢当我这么称赞你。,Bạn không xứng đáng với lời khen của tôi.
布告,bù gào,thông báo,学校发布了一份布告。,Nhà trường đã đưa ra một thông báo.
不顾,bù gù,không quan tâm,他不顾一切地追求梦想。,Anh ấy theo đuổi ước mơ mà không màng đến gì.
不禁,bù jīn,không nhịn được,听到这个消息，她不禁流下了眼泪。,"Nghe tin này, cô ấy không kìm được nước mắt."
布局,bù jú,bố trí,我们需要合理布局。,Chúng ta cần bố trí hợp lý.
不堪,bù kān,không thể chịu nổi,这个地方脏得不堪入目。,Nơi này bẩn đến mức không thể nhìn vào được.
不可思议,bù kě sī yì,không thể tưởng tượng,这个结果让人不可思议。,Kết quả này thật khó tin.
不愧,bù kuì,không hổ thẹn,他不愧是我们心中的英雄。,Anh ấy xứng đáng là người anh hùng trong lòng chúng tôi.
不料,bù liào,không ngờ,他不料会遇到这样的困难。,Anh ấy không ngờ sẽ gặp khó khăn như vậy.
不时,bù shí,thỉnh thoảng,他不时地看表。,Anh ấy thỉnh thoảng nhìn đồng hồ.
部署,bù shǔ,bố trí,我们正在进行详细的部署。,Chúng tôi đang triển khai chi tiết.
部位,bù wèi,"bộ phận, vị trí",这个部位需要特别保护。,Vị trí này cần được bảo vệ đặc biệt.
不惜,bù xī,"không tiếc, không ngại",我们不惜任何代价完成任务。,Chúng tôi không tiếc bất kỳ giá nào để hoàn thành nhiệm vụ.
不相上下,bù xiāng shàng xià,không phân cao thấp,他们的水平不相上下。,Trình độ của họ tương đương nhau.
不像话,bù xiàng huà,"không ra gì, kỳ cục",他的行为真不像话。,Hành vi của anh ấy thật không thể chấp nhận được.
不屑一顾,bù xiè yí gù,không thèm ngó tới,他对别人的批评不屑一顾。,Anh ấy coi thường những lời chỉ trích của người khác.
不言而喻,bù yán ér yù,không cần nói cũng hiểu,这个问题不言而喻。,Vấn đề này rõ ràng mà không cần nói.
不由得,bù yóu de,không kìm được,她不由得笑了起来。,Cô ấy không thể nhịn cười.
不择手段,bù zé shǒu duàn,không từ thủ đoạn,他为了成功不择手段。,Anh ấy không từ thủ đoạn nào để thành công.
不止,bù zhǐ,không ngừng,这个项目不止需要时间，还需要耐心。,Dự án này không chỉ cần thời gian mà còn cần kiên nhẫn.
布置,bù zhì,bố trí,请按照指示布置场地。,Vui lòng bố trí địa điểm theo hướng dẫn.
裁缝,cái féng,thợ may,她是一名优秀的裁缝。,Cô ấy là một thợ may xuất sắc.
财富,cái fù,tài sản,知识是无价的财富。,Tri thức là tài sản vô giá.
才干,cái gàn,"tài cán, năng lực",他有很强的才干。,Anh ấy có tài năng rất mạnh.
裁判,cái pàn,trọng tài,裁判宣布比赛结果。,Trọng tài công bố kết quả trận đấu.
财务,cái wù,tài chính,公司正在处理财务问题。,Công ty đang giải quyết các vấn đề tài chính.
裁员,cái yuán,cắt giảm nhân viên,公司决定裁员。,Công ty quyết định cắt giảm nhân sự.
财政,cái zhèng,tài chính,政府管理财政事务。,Chính phủ quản lý các vấn đề tài chính.
采购,cǎi gòu,mua sắm,我们要采购新设备。,Chúng ta cần mua sắm thiết bị mới.
采集,cǎi jí,"thu thập, sưu tập",研究人员在采集数据。,Các nhà nghiên cứu đang thu thập dữ liệu.
采纳,cǎi nà,chấp nhận,我们采纳了他的建议。,Chúng tôi đã chấp nhận đề xuất của anh ấy.
彩票,cǎi piào,vé số,他中了彩票，赢得了大奖。,Anh ấy trúng xổ số và giành được giải thưởng lớn.
参谋,cān móu,"tham mưu, cố vấn",他是我们的参谋长。,Anh ấy là trưởng cố vấn của chúng tôi.
参照,cān zhào,tham khảo,请参照这份指南。,Vui lòng tham khảo hướng dẫn này.
残酷,cán kù,"tàn khốc, tàn bạo",这场比赛非常残酷。,Trận đấu này rất tàn khốc.
残留,cán liú,còn sót lại,这里还有残留的气味。,Ở đây vẫn còn mùi hương.
残忍,cán rěn,tàn nhẫn,他的行为非常残忍。,Hành vi của anh ấy rất tàn nhẫn.
灿烂,càn làn,"rực rỡ, sáng lạn",夜空中的星星灿烂夺目。,Những ngôi sao trên bầu trời đêm lấp lánh rực rỡ.
舱,cāng,"khoang (tàu, máy bay)",船舱里非常宽敞。,Khoang thuyền rất rộng rãi.
苍白,cāng bái,"xanh xao, tái nhợt",他的脸色很苍白。,Sắc mặt của anh ấy rất nhợt nhạt.
仓促,cāng cù,"vội vàng, gấp gáp",他们仓促决定了这个计划。,Họ đã vội vàng quyết định kế hoạch này.
仓库,cāng kù,"kho, nhà kho",货物存放在仓库里。,Hàng hóa được lưu trữ trong kho.
操劳,cāo láo,lao tâm khổ tứ,他为了家庭操劳。,Anh ấy làm việc chăm chỉ vì gia đình.
操练,cāo liàn,"thao luyện, luyện tập",他们每天都在操练。,Họ tập luyện hàng ngày.
操纵,cāo zòng,"điều khiển, thao túng",他能够熟练地操纵机器。,Anh ấy có thể điều khiển máy móc một cách thành thạo.
操作,cāo zuò,thao tác,操作这台设备需要小心。,Vận hành thiết bị này cần cẩn thận.
嘈杂,cáo zá,ồn ào,大街上很嘈杂。,Đường phố rất ồn ào.
草案,cǎo àn,"bản thảo, dự thảo",这只是一个初步的草案。,Đây chỉ là một bản thảo sơ bộ.
草率,cǎo shuài,"qua loa, đại khái",他的决定太草率了。,Quyết định của anh ấy quá sơ sài.
策划,cè huà,"kế hoạch, lập kế hoạch",我们正在策划一个新项目。,Chúng tôi đang lên kế hoạch cho một dự án mới.
测量,cè liáng,đo lường,工程师在测量建筑物。,Các kỹ sư đang đo lường tòa nhà.
策略,cè lüè,chiến lược,我们需要制定策略。,Chúng tôi cần lên kế hoạch chiến lược.
侧面,cè miàn,"mặt bên, khía cạnh",我们从侧面观察了这个问题。,Chúng tôi quan sát vấn đề này từ một góc độ khác.
层出不穷,céng chū bù qióng,tầng tầng lớp lớp,这个问题层出不穷。,Vấn đề này liên tục xuất hiện.
层次,céng cì,"tầng lớp, cấp bậc",他在公司中有很高的层次。,Anh ấy có một vị trí cao trong công ty.
差距,chā jù,chênh lệch,他们之间存在巨大的差距。,Có một khoảng cách lớn giữa họ.
查获,chá huò,"tra ra, bắt được",警方查获了大量毒品。,Cảnh sát đã thu giữ một lượng lớn ma túy.
岔,chà,"rẽ nhánh, rẽ đường",他的话中有很多岔子。,Lời nói của anh ấy có nhiều sơ hở.
刹那,chà nà,"chớp mắt, trong khoảnh khắc",事情在刹那间发生了。,Sự việc xảy ra trong chớp nhoáng.
诧异,chà yì,ngạc nhiên,她的表现让人感到诧异。,Sự thể hiện của cô ấy khiến người khác ngạc nhiên.
柴油,chái yóu,dầu diesel,他用柴油发动了机器。,Anh ấy sử dụng dầu diesel để khởi động máy.
搀,chān,"nâng đỡ, dìu",他扶着老人过马路。,Anh ấy đỡ cụ già qua đường.
馋,chán,thèm thuồng,看到美食，他总是很馋。,"Nhìn thấy đồ ăn ngon, anh ấy luôn thèm thuồng."
缠绕,chán rào,quấn quanh,这条项链缠绕在一起了。,Sợi dây chuyền này bị rối lại.
阐述,chǎn shù,"trình bày, giải thích",他详细阐述了他的观点。,Anh ấy trình bày chi tiết quan điểm của mình.
产业,chǎn yè,"công nghiệp, sản nghiệp",这是一项重要的产业。,Đây là một ngành công nghiệp quan trọng.
颤抖,chàn dǒu,run rẩy,听到这个消息，他的身体颤抖了。,"Nghe tin này, cơ thể anh ấy run lên."
猖狂,chāng kuáng,điên cuồng,他们的行为非常猖狂。,Hành vi của họ rất hung hăng.
昌盛,chāng shèng,hưng thịnh,这个国家正在昌盛。,Quốc gia này đang thịnh vượng.
偿还,cháng huán,hoàn trả,他偿还了所有的债务。,Anh ấy đã trả hết nợ nần.
常年,cháng nián,quanh năm,这家公司常年盈利。,Công ty này có lãi hàng năm.
尝试,cháng shì,thử nghiệm,我们应该尝试新的方法。,Chúng ta nên thử các phương pháp mới.
常务,cháng wù,thường vụ,他是公司的常务董事。,Anh ấy là giám đốc điều hành của công ty.
场,chǎng,"sân, bãi, nơi",比赛在操场上举行。,Trận đấu được tổ chức trên sân chơi.
场合,chǎng hé,"trường hợp, hoàn cảnh",会议在正式的场合举行。,Cuộc họp được tổ chức trong một dịp chính thức.
敞开,chǎng kāi,"mở rộng, mở toang",门已经敞开了。,Cửa đã mở rộng.
场面,chǎng miàn,"cảnh tượng, tình cảnh",电影的场面很壮观。,Cảnh phim rất hoành tráng.
场所,chǎng suǒ,"nơi, chỗ",我们在这个场所见面。,Chúng tôi gặp nhau tại địa điểm này.
倡导,chàng dǎo,"khởi xướng, đề xướng",他倡导环保运动。,Anh ấy kêu gọi phong trào bảo vệ môi trường.
畅通,chàng tōng,"thông suốt, thông suốt",这条道路畅通无阻。,Con đường này không có trở ngại nào.
畅销,chàng xiāo,bán chạy,这本书畅销全国。,Cuốn sách này bán chạy trên toàn quốc.
倡议,chàng yì,"sáng kiến, đề nghị",他提出了一个新的倡议。,Anh ấy đưa ra một sáng kiến mới.
超级,chāo jí,siêu cấp,这是一个超级工程。,Đây là một dự án khổng lồ.
钞票,chāo piào,tiền giấy,他的钱包里有很多钞票。,Ví của anh ấy có nhiều tiền mặt.
超越,chāo yuè,"vượt qua, vượt trội",我们需要超越自我。,Chúng ta cần vượt qua bản thân.
潮流,cháo liú,"trào lưu, dòng nước",我喜欢追逐潮流。,Tôi thích theo đuổi xu hướng.
潮湿,cháo shī,ẩm ướt,潮湿的天气让人不舒服。,Thời tiết ẩm ướt khiến mọi người khó chịu.
嘲笑,cháo xiào,"chế giễu, cười nhạo",他们嘲笑他的错误。,Họ cười nhạo sai lầm của anh ấy.
撤退,chè tuì,"rút lui, thoái lui",军队被迫撤退。,Quân đội buộc phải rút lui.
撤销,chè xiāo,"hủy bỏ, bãi bỏ",这个决定被撤销了。,Quyết định này đã bị hủy bỏ.
